MSA,in_center_city,total_commuters,main_city_commuters,total_commuters_2011,main_city_commuters_2011,commuter_rate_2018,commuter_rate_2011,Change in Commuter Rate from 2011 to 2018,Change in Total Commuters,,,,,,
"Springfield, MA",TRUE,58032,22482,52006,20456,0.387406948,0.39333923,-0.6%,10%,,,,,,
"Lancaster, PA",TRUE,24392,5655,22739,5412,0.231838308,0.238005189,-0.6%,4%,,,,,,
"Providence-Warwick, RI-MA",FALSE,634070,73528,590042,72215,0.11596196,0.122389593,-0.6%,2%,,,,,,
"Vallejo-Fairfield, CA",FALSE,124418,4711,105439,4674,0.037864296,0.044328948,-0.6%,1%,,,,,,
"Chattanooga, TN-GA",FALSE,126358,68165,114475,62501,0.539459314,0.545979472,-0.7%,9%,,,,,,
"Manchester-Nashua, NH",TRUE,47682,20241,42993,18538,0.424499811,0.431186472,-0.7%,9%,,,,,,
"Los Angeles-Long Beach-Anaheim, CA",FALSE,3790604,669348,3394000,622024,0.17658083,0.183271656,-0.7%,8%,,,,,,
"St. Louis, MO-IL",FALSE,1048600,141931,984261,140399,0.135352851,0.142644075,-0.7%,1%,,,,,,
"Lexington-Fayette, KY",FALSE,69941,29447,62367,26718,0.421026294,0.428399634,-0.7%,10%,,,,,,
"Dayton, OH",FALSE,248553,46163,229932,44409,0.185726988,0.193139711,-0.7%,4%,,,,,,
"Corpus Christi, TX",FALSE,39065,13940,40587,14788,0.356841162,0.364353118,-0.8%,-6%,,,,,,
"Miami-Fort Lauderdale-West Palm Beach, FL",FALSE,2164950,210959,1880007,197679,0.097442897,0.105148013,-0.8%,7%,,,,,,
"Toledo, OH",FALSE,127042,36675,116123,34484,0.288684057,0.296960981,-0.8%,6%,,,,,,
"Nashville-Davidson--Murfreesboro--Franklin, TN",TRUE,290058,181980,239166,152089,0.627391763,0.635913968,-0.9%,20%,,,,,,
"Santa Rosa, CA",FALSE,140047,21717,121611,19906,0.15506937,0.163685851,-0.9%,9%,,,,,,
"Fresno, CA",TRUE,164481,95165,137593,80798,0.578577465,0.587224641,-0.9%,18%,,,,,,
"Salisbury, MD-DE",FALSE,126280,11759,110562,11268,0.093118467,0.101915667,-0.9%,4%,,,,,,
"Portland-South Portland, ME",FALSE,186101,40186,168198,37815,0.215936508,0.224824314,-0.9%,6%,,,,,,
"Denver-Aurora-Lakewood, CO",FALSE,1002615,271095,830593,232186,0.270387936,0.279542447,-0.9%,17%,,,,,,
"Augusta-Richmond County, GA-SC",FALSE,132537,36582,111289,31775,0.276013491,0.285517886,-1.0%,15%,,,,,,
"New Haven-Milford, CT",FALSE,312248,37557,305145,39643,0.120279393,0.129915286,-1.0%,-5%,,,,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV",FALSE,2335938,388348,2169636,381645,0.166249275,0.175902778,-1.0%,2%,,,,,,
"Dallas-Fort Worth-Arlington, TX",FALSE,2580815,477113,2135168,415689,0.184869121,0.194686788,-1.0%,15%,,,,,,
