MSA,MSA_ID,largest_city,in_center_city,total_commuters_2018,main_city_commuters_2018,suburban_commuters_2018,outside_msa_commuters_2018,total_commuters_2011,main_city_commuters_2011,suburban_commuters_2011,outside_msa_commuters_2011,city_commuter_rate_2018,city_commuter_rate_2011,suburban_commuter_rate_2018,suburban_commuter_rate_2011,outside_msa_commuter_rate_2018,outside_msa_commuter_rate_2011
"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,TRUE,184515,71878,69762,42875,154004,66454,54388,33162,0.3895509850147684,0.43150827251240226,0.37808308267620516,0.35315965819069634,0.23236593230902636,0.21533206929690138
"Salem, OR",41420,Salem,FALSE,97959,32351,32818,32790,81607,28406,27195,26006,0.33025041088618706,0.3480828850466259,0.33501771149154236,0.3332434717610009,0.3347318776222705,0.3186736431923732
"Salem, OR",41420,Salem,TRUE,54278,29919,11321,13038,45755,26634,8844,10277,0.5512178046353956,0.5821003169052562,0.2085743763587457,0.19329035078133538,0.24020781900585872,0.22460933231340838
"Salinas, CA",41500,Salinas,FALSE,91645,14768,49445,27432,77847,14398,44490,18959,0.1611435430192591,0.18495253510090306,0.5395275246876534,0.5715056456896219,0.29932893229308744,0.24354181920947499
"Salinas, CA",41500,Salinas,TRUE,52110,21913,15767,14430,42393,19582,12244,10567,0.42051429668009976,0.4619158823390654,0.30257148340049894,0.288821267662114,0.27691421991940124,0.24926284999882056
"Salisbury, MD-DE",41540,Salisbury,FALSE,126280,11759,87270,27251,110562,11268,73343,25951,0.0931184668989547,0.101915667227438,0.6910833069369655,0.6633653515674464,0.21579822616407981,0.2347189812051157
"Salisbury, MD-DE",41540,Salisbury,TRUE,10946,3013,5472,2461,9493,2789,4628,2076,0.2752603690845971,0.29379542821026017,0.49990864242645716,0.48751711787632995,0.22483098848894573,0.21868745391340988
"Salt Lake City, UT",41620,Salt Lake City,FALSE,447926,124196,263643,60087,362905,116338,207005,39562,0.27726901318521363,0.32057425497030906,0.588586061090448,0.5704109891018311,0.1341449257243384,0.1090147559278599
"Salt Lake City, UT",41620,Salt Lake City,TRUE,89551,41761,37176,10614,74058,40628,25871,7559,0.4663376176703778,0.5485970455588863,0.4151377427387746,0.3493343055443031,0.11852463959084768,0.10206864889681061
"San Antonio-New Braunfels, TX",41700,San Antonio,FALSE,378305,178514,124341,75450,292414,148953,88256,55205,0.4718785107254728,0.5093907952423619,0.32867924029552875,0.3018186543735936,0.19944224897899843,0.18879055038404455
